Sl no,City ID,City,Languages with split (social media),Population (total) Dynamic for Census,Population (below 35yrs),Internet penetration,Time zones (2 for Europe),Country,Continent,Area( km^2),Latitude and longitude,Internet Search tool,Source ,
1,101,Singapore,"Mandarin Chinese       
English
Malay        
Hokkien Chinese","5,859,200",,,GMT+8,Singapore,Asia,725.7,"1.3521° N, 103.8198° E
",,"https://www.worldometers.info/world-population/singapore-population/  , www.wikipedia.org , https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
2,102,Delhi,"Majorly spoken(Hindi, English, Urdu and Punjabi) ","30,291,000",,11.3 M~ users,GMT+5:30,India,Asia,1484,"28.7041° N, 77.1025° E",,"macrotrends.com ,www.populationu.com/cities/delhi-population, https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
3,103,Chennai,"widely spoken(tamil) followed by telugu,urdu,malyalam,hindi,kannada with 9.7%,4.1%,2.6%,2.4%,0.5%","10,971,000",2692924,6.0 M~ users,GMT+5:30,India,Asia,426,,,"macrotrends.com, wikipedia.org, https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
4,104,Mumbai," Hindi, Marathi, Gujarati, Urdu, Konkani and English are the common languages spoke in Mumbai.","20,411,000",7599338,13 M~ users,GMT+5:30,India,Asia,603.4,"19.0760° N, 72.8777° E
",,"macrotrends.com, wikipedia.org, https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
5,105,Hyderabad,Telugu and Urdu are the widely spoken languages of Hyderabad people.,"10,004,000",4550944,4.2 M~ users,GMT+5:30,India,Asia,625,"17.3850° N, 78.4867° E",,"macrotrends.com, wikipedia.org, https://en.wikipedia.org/wiki/List_of_time_zones_by_country",
6,106,Kolkata,"Majorly spoken are bengali, hindi, urdu, english, maithili, bhojpuri","14,850,000",2405464,6.3 M~ users,GMT+5:30,India,Asia,206.1,"22.5726° N, 88.3639° E",,"macrotrends.com, wikipedia.org, https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
7,107,Bangalore,"official langauge kannada and other langauages spoken are hindi, english, malyalam, tamil, telegu, marathi, konkani","12,327,000",5466209,6.6 M~ users,GMT+5:30,India,Asia,709,"12.9716° N, 77.5946° E",,"macrotrends.com, wikipedia.org, https://en.wikipedia.org/wiki/List_of_time_zones_by_country",
8,108,Tianjin,"Sino-Tibetan Sinitic 
Mandarin Jilu Mandarin 
Tianjin dialect","11,558,000",,,GMT+8,China,Asia,11760,"39.3434° N, 117.3616° E
",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
9,109,Shanghai,"Sino-Tibetan Sinitic
Mandarin Beijing Mandarin
Beijing dialect",24.28 million,,,GMT+8,China,Asia,6340,"31.2304° N, 121.4737° E",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
10,110,Beijing,"Pekingese, Standard
 Chinese,Sinitic, Mandarin",24.28 million,,,GMT+8,China,Asia,16808,"39.9042° N, 116.4074° E",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
